"","level","Overall","0","1","p","test","Missing"
"n","","243","230","13","","",""
"any_ae (%)","0","201 (82.7)","191 (83.0)","10 (76.9)","0.849","","0.0"
"","1","42 (17.3)","39 (17.0)","3 (23.1)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","222 (96.5)","13 (100.0)","1.000","exact","0.0"
"","1","8 (3.3)","8 (3.5)","0 (0.0)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","224 (97.4)","13 (100.0)","1.000","exact","0.0"
"","1","6 (2.5)","6 (2.6)","0 (0.0)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","227 (98.7)","13 (100.0)","1.000","exact","0.0"
"","1","3 (1.2)","3 (1.3)","0 (0.0)","","",""
"terli_ae_volover (%)","0","235 (96.7)","224 (97.4)","11 (84.6)","0.062","exact","0.0"
"","1","8 (3.3)","6 (2.6)","2 (15.4)","","",""
"terli_ae_brady (%)","0","237 (97.5)","225 (97.8)","12 (92.3)","0.284","exact","0.0"
"","1","6 (2.5)","5 (2.2)","1 (7.7)","","",""
"terli_7 (%)","0","228 (93.8)","215 (93.5)","13 (100.0)","1.000","exact","0.0"
"","1","15 (6.2)","15 (6.5)","0 (0.0)","","",""
"terli_8 (%)","0","240 (98.8)","227 (98.7)","13 (100.0)","1.000","exact","0.0"
"","1","3 (1.2)","3 (1.3)","0 (0.0)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","209 (90.9)","11 (84.6)","0.793","","0.0"
"","1","23 (9.5)","21 (9.1)","2 (15.4)","","",""
"serious_ae (%)","0","211 (86.8)","201 (87.4)","10 (76.9)","0.506","","0.0"
"","1","32 (13.2)","29 (12.6)","3 (23.1)","","",""
"comb_effusion_edema (%)","0","105 (53.6)","101 (54.9)","4 (33.3)","0.519","","19.3"
"","1","39 (19.9)","36 (19.6)","3 (25.0)","","",""
"","2","22 (11.2)","20 (10.9)","2 (16.7)","","",""
"","3","30 (15.3)","27 (14.7)","3 (25.0)","","",""
"ratio_albumin_b4terli (median [IQR])","","2.37 [1.38, 4.11]","2.36 [1.37, 4.11]","2.71 [1.84, 4.46]","0.582","nonnorm","10.7"
"ratio_albumin_total (median [IQR])","","0.73 [0.00, 1.64]","0.71 [0.00, 1.64]","1.05 [0.42, 1.68]","0.239","nonnorm","0.4"
